# pyIrena / Irena validation dataset: modeling_hardsphere
# tool          : Modeling
# model         : Log-normal spheres with a Percus-Yevick hard-sphere structure factor
# equation      : I(Q) = I_sizedist(Q) * S_PY(Q; R_HS, phi_HS) + bg
# 
# GROUND-TRUTH PARAMETERS
#   pop1_type                  = size_dist / lognormal / sphere [-]
#   pop1_min_size              = 0              [A]
#   pop1_mean_size             = 50             [A]
#   pop1_sdeviation            = 0.12           [-]
#   pop1_scale                 = 0.2            [-]
#   pop1_contrast              = 100            [1e20 cm^-4]
#   structure_factor           = hard_sphere    [-]
#   sf_radius                  = 50             [A]
#   sf_volume_fraction         = 0.25           [-]
#   background                 = 0.01           [1/cm]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 6306.94, seed = 1762171967
#   median rel. error = 0.01005, max = 0.08505
# 
# Q range       : 0.003 to 0.5 1/A, 450 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
1.56547016e-02  1.64739966e+02
1.58340945e-02  1.64923232e+02
1.60155431e-02  1.65111088e+02
1.61990710e-02  1.65303656e+02
1.63847020e-02  1.65501062e+02
1.65724602e-02  1.65703437e+02
1.67623700e-02  1.65910914e+02
1.69544560e-02  1.66123630e+02
1.71487433e-02  1.66341727e+02
1.73452569e-02  1.66565350e+02
1.75440225e-02  1.66794651e+02
1.77450658e-02  1.67029783e+02
1.79484129e-02  1.67270905e+02
1.81540902e-02  1.67518182e+02
1.83621245e-02  1.67771781e+02
1.85725427e-02  1.68031877e+02
1.87853722e-02  1.68298648e+02
1.90006406e-02  1.68572278e+02
1.92183758e-02  1.68852958e+02
1.94386061e-02  1.69140882e+02
1.96613601e-02  1.69436251e+02
1.98866667e-02  1.69739273e+02
2.01145552e-02  1.70050161e+02
2.03450552e-02  1.70369134e+02
2.05781965e-02  1.70696418e+02
2.08140095e-02  1.71032247e+02
2.10525247e-02  1.71376859e+02
2.12937732e-02  1.71730501e+02
2.15377862e-02  1.72093428e+02
2.17845955e-02  1.72465900e+02
2.20342331e-02  1.72848186e+02
2.22867313e-02  1.73240563e+02
2.25421230e-02  1.73643314e+02
2.28004413e-02  1.74056734e+02
2.30617198e-02  1.74481121e+02
2.33259924e-02  1.74916785e+02
2.35932934e-02  1.75364044e+02
2.38636574e-02  1.75823223e+02
2.41371197e-02  1.76294656e+02
2.44137157e-02  1.76778687e+02
2.46934813e-02  1.77275668e+02
2.49764528e-02  1.77785959e+02
2.52626670e-02  1.78309928e+02
2.55521610e-02  1.78847954e+02
2.58449725e-02  1.79400422e+02
2.61411393e-02  1.79967726e+02
2.64407001e-02  1.80550268e+02
2.67436936e-02  1.81148457e+02
2.70501593e-02  1.81762709e+02
2.73601368e-02  1.82393447e+02
2.76736665e-02  1.83041099e+02
2.79907890e-02  1.83706097e+02
2.83115456e-02  1.84388878e+02
2.86359778e-02  1.85089881e+02
2.89641278e-02  1.85809546e+02
2.92960382e-02  1.86548313e+02
2.96317521e-02  1.87306617e+02
2.99713131e-02  1.88084891e+02
3.03147652e-02  1.88883559e+02
3.06621530e-02  1.89703032e+02
3.10135217e-02  1.90543710e+02
3.13689168e-02  1.91405973e+02
3.17283846e-02  1.92290176e+02
3.20919716e-02  1.93196648e+02
3.24597251e-02  1.94125681e+02
3.28316928e-02  1.95077525e+02
3.32079230e-02  1.96052379e+02
3.35884646e-02  1.97050383e+02
3.39733670e-02  1.98071605e+02
3.43626801e-02  1.99116032e+02
3.47564544e-02  2.00183552e+02
3.51547412e-02  2.01273942e+02
3.55575921e-02  2.02386848e+02
3.59650593e-02  2.03521765e+02
3.63771959e-02  2.04678016e+02
3.67940554e-02  2.05854723e+02
3.72156917e-02  2.07050779e+02
3.76421598e-02  2.08264816e+02
3.80735149e-02  2.09495167e+02
3.85098131e-02  2.10739824e+02
3.89511109e-02  2.11996393e+02
3.93974658e-02  2.13262040e+02
3.98489356e-02  2.14533433e+02
4.03055789e-02  2.15806682e+02
4.07674551e-02  2.17077263e+02
4.12346241e-02  2.18339941e+02
4.17071465e-02  2.19588690e+02
4.21850838e-02  2.20816595e+02
4.26684979e-02  2.22015756e+02
4.31574516e-02  2.23177182e+02
4.36520084e-02  2.24290682e+02
4.41522326e-02  2.25344747e+02
4.46581890e-02  2.26326440e+02
4.51699433e-02  2.27221274e+02
4.56875620e-02  2.28013114e+02
4.62111122e-02  2.28684072e+02
4.67406621e-02  2.29214432e+02
4.72762802e-02  2.29582602e+02
4.78180362e-02  2.29765099e+02
4.83660003e-02  2.29736587e+02
4.89202438e-02  2.29469978e+02
4.94808385e-02  2.28936617e+02
5.00478573e-02  2.28106557e+02
5.06213738e-02  2.26948952e+02
5.12014624e-02  2.25432575e+02
5.17881984e-02  2.23526478e+02
