# pyIrena / Irena validation dataset: modeling_mass_fractal
# tool          : Modeling
# model         : Mass-fractal aggregate of spherical primary particles (Teixeira 1988)
# equation      : I(Q) = phi*contrast*1e-4*V*[bracket*S_f(Q)+(1-eta)^2]*F_sph^2(QR) + bg
# 
# GROUND-TRUTH PARAMETERS
#   pop_type                   = mass_fractal   [-]
#   Phi                        = 0.005          [-]
#   Radius                     = 40             [A]
#   Dv                         = 2.4            [-]   mass fractal dimension
#   Ksi                        = 800            [A]   aggregate correlation length
#   Eta                        = 0.5            [-]   packing term
#   Beta                       = 1              [-]   aspect ratio (sphere)
#   Contrast                   = 100            [1e20 cm^-4]
#   background                 = 0.01           [1/cm]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 24414.7, seed = 2358675931
#   median rel. error = 0.01003, max = 0.06472
# 
# Q range       : 0.0003 to 0.3 1/A, 400 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
3.69272374e-03  6.53235641e+02
3.75721126e-03  6.27413300e+02
3.82282496e-03  6.02546809e+02
3.88958449e-03  5.78606004e+02
3.95750987e-03  5.55561284e+02
4.02662146e-03  5.33383631e+02
4.09693997e-03  5.12044628e+02
4.16848648e-03  4.91516474e+02
4.24128244e-03  4.71771990e+02
4.31534966e-03  4.52784636e+02
4.39071035e-03  4.34528511e+02
4.46738710e-03  4.16978361e+02
4.54540288e-03  4.00109579e+02
4.62478108e-03  3.83898208e+02
4.70554549e-03  3.68320941e+02
4.78772033e-03  3.53355116e+02
4.87133022e-03  3.38978713e+02
4.95640022e-03  3.25170349e+02
5.04295583e-03  3.11909272e+02
5.13102300e-03  2.99175355e+02
5.22062812e-03  2.86949087e+02
5.31179805e-03  2.75211560e+02
5.40456012e-03  2.63944466e+02
5.49894213e-03  2.53130083e+02
5.59497237e-03  2.42751265e+02
5.69267963e-03  2.32791430e+02
5.79209319e-03  2.23234546e+02
5.89324284e-03  2.14065126e+02
5.99615892e-03  2.05268207e+02
6.10087225e-03  1.96829343e+02
6.20741424e-03  1.88734591e+02
6.31581682e-03  1.80970498e+02
6.42611247e-03  1.73524087e+02
6.53833426e-03  1.66382845e+02
6.65251583e-03  1.59534711e+02
6.76869139e-03  1.52968062e+02
6.88689577e-03  1.46671699e+02
7.00716441e-03  1.40634837e+02
7.12953334e-03  1.34847093e+02
7.25403925e-03  1.29298468e+02
7.38071946e-03  1.23979342e+02
7.50961194e-03  1.18880457e+02
7.64075532e-03  1.13992907e+02
7.77418890e-03  1.09308128e+02
7.90995270e-03  1.04817882e+02
8.04808739e-03  1.00514251e+02
8.18863438e-03  9.63896233e+01
8.33163580e-03  9.24366836e+01
8.47713451e-03  8.86484026e+01
8.62517412e-03  8.50180268e+01
8.77579901e-03  8.15390689e+01
8.92905432e-03  7.82052980e+01
9.08498600e-03  7.50107305e+01
9.24364077e-03  7.19496208e+01
9.40506619e-03  6.90164529e+01
9.56931065e-03  6.62059316e+01
9.73642337e-03  6.35129741e+01
9.90645445e-03  6.09327026e+01
1.00794549e-02  5.84604358e+01
1.02554764e-02  5.60916821e+01
1.04345720e-02  5.38221319e+01
1.06167951e-02  5.16476506e+01
1.08022005e-02  4.95642721e+01
1.09908436e-02  4.75681920e+01
1.11827812e-02  4.56557613e+01
1.13780706e-02  4.38234806e+01
1.15767704e-02  4.20679937e+01
1.17789402e-02  4.03860824e+01
1.19846406e-02  3.87746608e+01
1.21939332e-02  3.72307698e+01
1.24068808e-02  3.57515727e+01
1.26235471e-02  3.43343494e+01
1.28439972e-02  3.29764925e+01
1.30682971e-02  3.16755024e+01
1.32965140e-02  3.04289827e+01
1.35287164e-02  2.92346364e+01
1.37649738e-02  2.80902618e+01
1.40053571e-02  2.69937484e+01
1.42499383e-02  2.59430732e+01
1.44987907e-02  2.49362974e+01
1.47519889e-02  2.39715626e+01
1.50096089e-02  2.30470876e+01
1.52717277e-02  2.21611654e+01
1.55384240e-02  2.13121597e+01
1.58097778e-02  2.04985024e+01
1.60858703e-02  1.97186908e+01
1.63667843e-02  1.89712842e+01
1.66526041e-02  1.82549024e+01
1.69434152e-02  1.75682222e+01
1.72393049e-02  1.69099754e+01
1.75403618e-02  1.62789469e+01
1.78466762e-02  1.56739716e+01
1.81583399e-02  1.50939333e+01
1.84754463e-02  1.45377619e+01
1.87980905e-02  1.40044316e+01
1.91263691e-02  1.34929595e+01
1.94603806e-02  1.30024034e+01
1.98002251e-02  1.25318599e+01
2.01460044e-02  1.20804634e+01
2.04978222e-02  1.16473840e+01
2.08557839e-02  1.12318261e+01
2.12199968e-02  1.08330271e+01
2.15905702e-02  1.04502560e+01
2.19676150e-02  1.00828119e+01
2.23512443e-02  9.73002290e+00
2.27415731e-02  9.39124490e+00
2.31387184e-02  9.06586032e+00
2.35427991e-02  8.75327709e+00
2.39539365e-02  8.45292758e+00
2.43722537e-02  8.16426754e+00
2.47978762e-02  7.88677519e+00
2.52309315e-02  7.61995027e+00
