# pyIrena / Irena validation dataset: sizes_spheroid_lognormal
# tool          : Size Distribution
# model         : Log-normal volume distribution of oblate spheroids (AR = 0.3)
# equation      : I(Q) = 1e-4*contrast*INT V(r,AR) <F_ell^2(Q,r,AR)>_orient P_V(r) dr
# 
# GROUND-TRUTH PARAMETERS
#   shape                      = spheroid       [-]
#   aspect_ratio               = 0.3            [-]   semi-axes (r, r, AR*r)
#   R_median                   = 150            [A]
#   sigma_log                  = 0.2            [-]
#   volume_fraction            = 0.008          [-]
#   contrast                   = 50             [1e20 cm^-4]
#   background                 = 0              [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   R_mode                     = 144.118        [A]
#   R_rms                      = 156.122        [A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 61853.2, seed = 312993427
#   median rel. error = 0.01001, max = 0.1144
# 
# Q range       : 0.0005 to 0.3 1/A, 320 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
8.97546772e-03  1.44842600e+02
9.15727016e-03  1.42912802e+02
9.34275511e-03  1.40936377e+02
9.53199714e-03  1.38913492e+02
9.72507236e-03  1.36844428e+02
9.92205842e-03  1.34729583e+02
1.01230345e-02  1.32569487e+02
1.03280815e-02  1.30364804e+02
1.05372818e-02  1.28116337e+02
1.07507195e-02  1.25825041e+02
1.09684806e-02  1.23492023e+02
1.11906525e-02  1.21118551e+02
1.14173245e-02  1.18706061e+02
1.16485880e-02  1.16256156e+02
1.18845358e-02  1.13770617e+02
1.21252628e-02  1.11251403e+02
1.23708659e-02  1.08700653e+02
1.26214438e-02  1.06120689e+02
1.28770972e-02  1.03514016e+02
1.31379291e-02  1.00883319e+02
1.34040442e-02  9.82314646e+01
1.36755496e-02  9.55614939e+01
1.39525545e-02  9.28766187e+01
1.42351702e-02  9.01802144e+01
1.45235105e-02  8.74758106e+01
1.48176913e-02  8.47670810e+01
1.51178308e-02  8.20578306e+01
1.54240498e-02  7.93519815e+01
1.57364714e-02  7.66535560e+01
1.60552212e-02  7.39666587e+01
1.63804275e-02  7.12954559e+01
1.67122210e-02  6.86441537e+01
1.70507351e-02  6.60169743e+01
1.73961060e-02  6.34181304e+01
1.77484726e-02  6.08517985e+01
1.81079765e-02  5.83220914e+01
1.84747623e-02  5.58330291e+01
1.88489776e-02  5.33885097e+01
1.92307728e-02  5.09922796e+01
1.96203014e-02  4.86479049e+01
2.00177201e-02  4.63587417e+01
2.04231887e-02  4.41279093e+01
2.08368703e-02  4.19582632e+01
2.12589312e-02  3.98523712e+01
2.16895412e-02  3.78124918e+01
2.21288733e-02  3.58405545e+01
2.25771044e-02  3.39381445e+01
2.30344146e-02  3.21064909e+01
2.35009878e-02  3.03464580e+01
2.39770117e-02  2.86585426e+01
2.44626777e-02  2.70428740e+01
2.49581811e-02  2.54992202e+01
2.54637212e-02  2.40269977e+01
2.59795012e-02  2.26252867e+01
2.65057285e-02  2.12928504e+01
2.70426149e-02  2.00281585e+01
2.75903762e-02  1.88294143e+01
2.81492326e-02  1.76945857e+01
2.87194090e-02  1.66214381e+01
2.93011345e-02  1.56075700e+01
2.98946432e-02  1.46504495e+01
3.05001737e-02  1.37474514e+01
